#,image_filename,save_to,cover_title,slug
1,how-much-tailoring-is-too-much.jpg,public/blog-images/how-much-tailoring-is-too-much.jpg,How Much Tailoring Is Too Much?,how-much-tailoring-is-too-much
2,reordering-work-history.jpg,public/blog-images/reordering-work-history.jpg,Should You Reorder Your Work History?,reordering-work-history
3,cutting-experience-without-gaps.jpg,public/blog-images/cutting-experience-without-gaps.jpg,Cutting Irrelevant Experience Without Creating a Gap,cutting-experience-without-gaps
4,how-far-back-experience-goes.jpg,public/blog-images/how-far-back-experience-goes.jpg,How Far Back Your Experience Should Go,how-far-back-experience-goes
5,splitting-resume-versions.jpg,public/blog-images/splitting-resume-versions.jpg,"One Resume, Two Job Families",splitting-resume-versions
6,tailoring-at-volume.jpg,public/blog-images/tailoring-at-volume.jpg,Tailoring at Volume: 20 Applications Without 20 Rewrites,tailoring-at-volume
7,estimating-impact-honestly.jpg,public/blog-images/estimating-impact-honestly.jpg,Estimating Impact Honestly,estimating-impact-honestly
8,team-vs-individual-credit.jpg,public/blog-images/team-vs-individual-credit.jpg,Tailoring When Your Work Was a Team Effort,team-vs-individual-credit
9,tailoring-across-industries.jpg,public/blog-images/tailoring-across-industries.jpg,Tailoring When the Company Is in Another Industry,tailoring-across-industries
10,scan-result-into-three-edits.jpg,public/blog-images/scan-result-into-three-edits.jpg,Turning a Scan Result Into Three Edits,scan-result-into-three-edits
11,tailoring-for-hybrid-roles.jpg,public/blog-images/tailoring-for-hybrid-roles.jpg,Tailoring for a Hybrid Role,tailoring-for-hybrid-roles
12,placement-resume-many-companies.jpg,public/blog-images/placement-resume-many-companies.jpg,"Campus Placement Resume: One Document, Many Companies",placement-resume-many-companies
13,tailoring-after-feedback.jpg,public/blog-images/tailoring-after-feedback.jpg,Tailoring After the Hiring Manager Gave Feedback,tailoring-after-feedback
14,what-counts-as-relevant-experience.jpg,public/blog-images/what-counts-as-relevant-experience.jpg,What Counts as Relevant Experience?,what-counts-as-relevant-experience
15,consulting-vs-industry-tailoring.jpg,public/blog-images/consulting-vs-industry-tailoring.jpg,Consulting Firm vs Industry Role,consulting-vs-industry-tailoring
16,agency-vs-in-house-tailoring.jpg,public/blog-images/agency-vs-in-house-tailoring.jpg,Agency Role vs In-House Role,agency-vs-in-house-tailoring
17,when-everything-is-relevant.jpg,public/blog-images/when-everything-is-relevant.jpg,What to Tailor When Everything Is Relevant,when-everything-is-relevant
18,confidential-work-on-resume.jpg,public/blog-images/confidential-work-on-resume.jpg,Tailoring When Your Work Is Confidential,confidential-work-on-resume
19,jd-written-for-an-insider.jpg,public/blog-images/jd-written-for-an-insider.jpg,A JD Written for the Person Already Doing the Job,jd-written-for-an-insider
20,tailoring-when-approached.jpg,public/blog-images/tailoring-when-approached.jpg,Tailoring When You're Being Poached,tailoring-when-approached
21,tailoring-a-resume-you-didnt-write.jpg,public/blog-images/tailoring-a-resume-you-didnt-write.jpg,Tailoring a Resume You Didn't Write,tailoring-a-resume-you-didnt-write
22,two-years-in-going-mid-level.jpg,public/blog-images/two-years-in-going-mid-level.jpg,"Two Years In, Applying for Mid-Level",two-years-in-going-mid-level
23,first-management-role-resume.jpg,public/blog-images/first-management-role-resume.jpg,From Senior IC to First Management Role,first-management-role-resume
24,management-back-to-ic.jpg,public/blog-images/management-back-to-ic.jpg,Moving Back From Management to IC,management-back-to-ic
25,same-job-different-wording.jpg,public/blog-images/same-job-different-wording.jpg,"Same Job, Posted Twice With Different Wording",same-job-different-wording
